軸	[名詞]	棒
軸	[接頭辞]	中核的な、中心的な
軸	[接尾辞]	～の中心、～の中核
軸	[略号]	<span class="inline-linzklar">筆兵集</span>【筆兵集】（アイル共和国総務省）
軸人	[名詞]	中心人物、（カードゲームの）親
軸言	[名詞]	第一言語、母語
軸律	[名詞]	憲法
軸筆	[名詞]	ペン
軸道	[名詞]	専門
軸付	[名詞]	（計算機）インストラクションポインタ、実行中の命令のアドレスを示すレジスタ
軸山	[名詞]	ラツォ（アイル共和国の中央に位置する山）
軸声	[名詞]	音節の主母音
軸之字集	[名詞]	（文の成分としての）動詞
国軸	[名詞]	首都、国の中心地
言軸	[名詞]	話題
銭軸	[名詞]	会社
手軸	[名詞]	指
値軸	[名詞]	（セッカイクの）点棒
心軸	[名詞]	心臓
裁軸	[名詞]	意思決定機関、（計算機の）CPU
裁軸	国論集此冠国之上端裁軸	国会はアイル共和国の最高意思決定機関である。
獣軸	[名詞]	（セッカイクの）<span class="inline-linzklar">王</span>【王】
島軸言	[名詞]	島の公用語
骨軸倉字	[名詞]	丸ゴシック調のフォント
冠軸官行	[名詞]	アイル民族中心主義的政策
下筆軸	[名詞]	二等事務員（アイル共和国の省庁の<span class="inline-linzklar">筆</span>【筆】において 2 番目に低い階級）
上筆軸	[名詞]	上等事務員（アイル共和国の省庁の<span class="inline-linzklar">筆</span>【筆】において 4 番目に低い階級）
下翰軸	[名詞]	二等事務監（アイル共和国の省庁の<span class="inline-linzklar">筆</span>【筆】において 7 番目に低い階級）
上翰軸	[名詞]	上等事務監（アイル共和国の省庁の<span class="inline-linzklar">筆</span>【筆】において 9 番目に低い階級）
下兵軸	[名詞]	二等実働員（アイル共和国の省庁の<span class="inline-linzklar">兵</span>【兵】において 2 番目に低い階級）
上兵軸	[名詞]	上等実働員（アイル共和国の省庁の<span class="inline-linzklar">兵</span>【兵】において 4 番目に低い階級）
下将軸	[名詞]	二等実働監（アイル共和国の省庁の<span class="inline-linzklar">兵</span>【兵】において 7 番目に低い階級）
上将軸	[名詞]	上等実働監（アイル共和国の省庁の<span class="inline-linzklar">兵</span>【兵】において 9 番目に低い階級）
皇	[名詞]	タム神（神を統率する神）、（セッカイクの）皇	
皇	[名詞]	タム（人名）	
皇	[接頭辞]	タカン（言語・民族名）	
皇	[略号]	タカン（言語・民族名）	
皇光	[名詞]	天恵、タム神の恩恵、タカメク
皇処	[名詞]	タムホエ、タンケ（セッカイク用語）
皇処之将	[名詞]	他人のために自分を犠牲にする人、良い上司
皇水	[名詞]	タンナ（地名およびセッカイク用語）
皇下	[名詞]	タヌト（都市名）
皇山	[名詞]	（セッカイクの）中央の緑マス
皇色	[名詞]	深い緑色
皇草	[名詞]	タムコト（麻薬の一種）
皇言	[名詞]	タカン語
皇石	[名詞]	翡翠
皇力	[名詞]	皇効（宗教的概念およびセッカイク用語）
皇論	[名詞]	タムツイ（宗教名）
皇論		タムを最高神とするアニミズム的宗教。
皇論之書	[名詞]	タムツイの書
皇論之書		タムツイにおいて重要な教典。
皇来	[名詞]	タザク、タサク（人名）
皇再来	[名詞]	（セッカイクの減点役）タムの千日手
皇集	[名詞]	アタラム郡（アイル共和国の郡名）
皇島	[名詞]	アタラン島（アイル共和国を構成する島の一つ）
皇月島	[名詞]	タムシエルミワ島（ヴェフィス共和国を構成する島の一つ）
撃皇	[動詞]	（セッカイクで）タムを踏み越える
撃皇	[名詞]	（セッカイクの減点役）タムの踏み越え
硬皇力	[名詞]	強い皇効（セッカイクのルール変種のひとつ）
南	[名詞]	南、暖かい方向、日が最も高くにあるときの方向
南		向こうの世界において、「暖かい方向」と「日が昇るところの方向」の相対的な位置関係は、日本などの地球の北半球とは逆である。この辞書で採用している漢字転写では、「暖かい方向」を表す <span class="inline-linzklar">南</span> を【南】、「日が昇るところの方向」を表す <span class="inline-linzklar">東</span> を【東】と表記している。
猫	[名詞]	猫
猫	[略号]	（音楽）基準音の3半音上の音、（移動ドで）レ♯・ミ♭の音
猫膠	[名詞]	ヌバイト（人名）
小猫	[名詞]	ニーンセッカイクのゲームルールのひとつ
言猫猫	[動詞]	猫が鳴く
耳	[動詞]	聞く
耳識	[動詞]	注意を傾けて聞く
耳識	[状態動詞]	聞いて分かる
耳識	[節要求動詞]	～と伝え聞く
来	[動詞]	来る、～へやってくる
来	[状態動詞]	～出身である
来	[接尾辞]	〔動詞の後ろについて〕（主語）の元へと
心来	[動詞]	感じる
急来	[動詞]	走ってやってくる
識来	[動詞]	理解する
再来	[動詞]	～（場所）へと戻る
与来	[動詞]	持ってくる
引来	[動詞]	引き寄せる
集来	[動詞]	集める
手来	[動詞]	手に取る
皇来	[名詞]	タザク、タサク（人名）
心来如	[節要求動詞]	まるで～したかと思った
心来如	我心来如我壊終	わたし、死んだかと思った。
皇再来	[名詞]	（セッカイクの減点役）タムの千日手
再識来	[動詞]	思い起こす、思い出す
新星善来	[間投詞]	あけましておめでとう
新星善来	[間投詞]	お誕生日おめでとう
端	[名詞]	端、へり
端	[名詞]	タウポ（都市名）
端心	[名詞]	極端な理想、絵空事
端心		極端であるがゆえに視野が狭まっていることを含意する。
端集	[名詞]	タウポ郡（アイル共和国の郡名）
口端	[名詞]	唇
川端	[名詞]	川岸
国端	[名詞]	国境
上端	[名詞]	上端、最上部
筆端	[名詞]	書き込み先、左辺値
目端	[名詞]	読み取り元、右辺値
件	[名詞]	ことがら
件即	[文接続詞]	さて、ところで
為件	[動詞＋目的語]	物事を行う、物事をする
労件	[名詞]	労働、仕事
識件	[名詞]	アイデア、考え
真件	[名詞]	情報、知らせ
口件之囲	[名詞]	ダイニングルーム、食事室
木	[名詞]	木
木処	[名詞]	森
木墨	[名詞]	木炭
木平	[名詞]	木の板
木手	[名詞]	木の枝
木足	[名詞]	木の根
