端	[名詞]	端、へり
端	[名詞]	タウポ（都市名）
端心	[名詞]	極端な理想、絵空事
端心		極端であるがゆえに視野が狭まっていることを含意する。
端集	[名詞]	タウポ郡（アイル共和国の郡名）
口端	[名詞]	唇
川端	[名詞]	川岸
国端	[名詞]	国境
上端	[名詞]	上端、最上部
筆端	[名詞]	書き込み先、左辺値
目端	[名詞]	読み取り元、右辺値
件	[名詞]	ことがら
件即	[文接続詞]	さて、ところで
為件	[動詞＋目的語]	物事を行う、物事をする
労件	[名詞]	労働、仕事
識件	[名詞]	アイデア、考え
真件	[名詞]	情報、知らせ
口件之囲	[名詞]	ダイニングルーム、食事室
木	[名詞]	木
木処	[名詞]	森
木墨	[名詞]	木炭
木平	[名詞]	木の板
木手	[名詞]	木の枝
木足	[名詞]	木の根
木草手	[名詞]	木の葉
木紙遊術	[名詞]	ボードゲーム、アナログゲーム、非電源ゲーム
木獣	[名詞]	うさぎ
小木	[名詞]	低木
草木	[名詞]	草木、植物
立木	[動詞＋目的語]	木を植える
立木	我等立終百木	私たちは 100 本の木を植えた。
値木	[名詞]	ニーンセッカイクのゲームルールのひとつ
火果木	[名詞]	林檎の木
